icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
e49406,GLO1958 ,Brazil,1727379448,1727379448,-48.4374,-16.4959,6499.86,False,229.39,254.65,-13.33,[],6957.06,None,False,0
c02db0,CFRHV   ,Canada,1727379684,1727379684,-79.0687,44.087,891.54,False,60.76,334.95,0.0,[],891.54,5310,False,0
4b1816,SWR693P ,Switzerland,1727379684,1727379684,-0.4049,50.7925,6606.54,False,231.33,142.14,8.13,[],6484.62,2016,False,0
ab1644,UAL282  ,United States,1727379684,1727379685,-122.4552,47.5861,1440.18,False,126.04,359.53,-7.15,[],1455.42,3736,False,0
4b1818,SWR2KG  ,Switzerland,1727379683,1727379683,8.5564,47.4565,,True,6.69,95.62,,[],,3013,False,0
a798d1,N589RC  ,United States,1727379684,1727379684,-122.1782,45.2624,2651.76,False,76.86,132.02,2.28,[],2712.72,None,False,0
ab76bc,,United States,1727379649,1727379650,-146.1099,65.1268,2446.02,False,84.16,259.79,-0.98,[],2301.24,None,False,0
aa3cbe,N759PA  ,United States,1727379683,1727379683,-111.8516,41.7797,,True,1.54,205.31,,[],,None,False,0
a8a812,N657PT  ,United States,1727379678,1727379678,-116.4946,36.6833,12489.18,False,245.92,120.0,-0.33,[],13129.26,None,False,0
aa56db,UAL2029 ,United States,1727379684,1727379684,-101.7685,35.8413,11262.36,False,226.67,260.07,4.23,[],11910.06,1616,False,0
7c6b2f,JST132  ,Australia,1727379684,1727379684,174.2345,-36.9093,4198.62,False,176.06,292.14,4.23,[],4251.96,None,False,0
4b1812,SWR438A ,Switzerland,1727379684,1727379685,8.8429,47.4389,1638.3,False,76.64,263.45,-0.65,[],1645.92,2007,False,0
a46e5e,N385FD  ,United States,1727379684,1727379684,-84.3371,35.9748,12496.8,False,203.04,155.45,-0.33,[],13106.4,None,False,0
a53edd,GPD437  ,United States,1727379684,1727379685,-72.7068,41.3088,1798.32,False,84.26,245.47,0.0,[],1874.52,None,False,0
a57b27,WGN214  ,United States,1727379683,1727379684,116.9226,22.3225,12192.0,False,237.74,268.64,0.0,[],12976.86,None,False,0
a47551,N387AF  ,United States,1727379368,1727379410,-112.2873,40.5762,2247.9,False,38.56,256.89,-3.9,[],2339.34,None,False,0
ad19bc,EJA943  ,United States,1727379683,1727379684,-89.6707,44.9298,8465.82,False,219.88,56.64,-11.38,[],8862.06,3751,True,0
